tweetid,emojis,emoji_id,count,group,unicode,n,name,e_id
35,BACKHAND-INDEX-POINTING-RIGHT,109,2,Symbol,1f449,2,Backhand Index Pointing Right,7
35,OK-HAND,110,2,Symbol,1f44c,2,Ok Hand,120
36,FIRE,111,3,Symbol,1f525,3,Fire,57
37,HIGH-SPEED-TRAIN,114,1,Transport,1f684,1,High Speed Train,81
37,SUN-BEHIND-CLOUD,115,1,Scene,26c5,1,Sun Behind Cloud,172
37,NIGHT-WITH-STARS,117,1,Scene,1f303,1,Night With Stars,117
37,COCKTAIL-GLASS,118,1,Food,1f378,1,Cocktail Glass,32
37,CONFETTI-BALL,119,1,Symbol,1f38a,1,Confetti Ball,33
38,SHEEP,121,2,Animal,1f411,2,Sheep,153
39,FRANCE,123,1,Country,1f1eb-1f1f7,1,France,67
39,HANDSHAKE,124,1,People,1f91d,1,Handshake,76
39,DIZZY-FACE,125,1,Face,1f635,1,Dizzy Face,43
41,BIRTHDAY-CAKE,129,2,Food,1f382,2,Birthday Cake,15
41,CROSSED-FLAGS,130,2,Activity,1f38c,2,Crossed Flags,36
41,RED-PAPER-LANTERN,131,2,Symbol,1f3ee,2,Red Paper Lantern,143
43,MUSICAL-NOTES,135,7,Activity,1f3b6,7,Musical Notes,112
43,DRAGON,137,1,Animal,1f409,1,Dragon,46
44,SKULL,138,4,Symbol,1f480,4,Skull,158
45,CLINKING-GLASSES,143,1,Food,1f942,1,Clinking Glasses,31
46,FIVE-O-CLOCK,144,1,Symbol,1f554,1,Five O Clock,200
47,SYRINGE,147,1,Symbol,1f489,1,Syringe,180
47,PILL,148,1,Symbol,1f48a,1,Pill,135
47,MUSHROOM,149,1,Food,1f344,1,Mushroom,111
48,EYE,150,1,Symbol,1f441,1,Eye,51
48,NATIONAL-PARK,151,1,Scene,1f3de,1,National Park,114
49,PEACE-SYMBOL,153,1,Symbol,262e,1,Peace Symbol,127
49,DOG,154,1,Animal,1f415,1,Dog,44
50,RAILWAY-TRACK,156,3,Transport,1f6e4,3,Railway Track,139
50,WOMAN,158,2,People,1f469,2,Woman,195
51,MAP-OF-JAPAN,160,1,Country,1f5fe,1,Map Of Japan,99
51,FAMILY,161,1,People,1f46a,1,Family,54
51,HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,162,2,Transport,1f685,2,High Speed Train With Bullet Nose,82
52,EGGPLANT,163,1,Food,1f346,1,Eggplant,47
52,GLOBE-SHOWING-AMERICAS,165,4,Symbol,1f30e,4,Globe Showing Americas,68
53,DEER,166,1,Animal,1f98c,1,Deer,38
53,PISTOL,167,2,Symbol,1f52b,2,Pistol,136
53,FORK-AND-KNIFE-WITH-PLATE,168,2,Food,1f37d,2,Fork And Knife With Plate,65
54,JAMAICA,170,1,Country,1f1ef-1f1f2,1,Jamaica,90
55,GLOBE-SHOWING-EUROPE-AFRICA,173,2,Symbol,1f30d,2,Globe Showing Europe Africa,70
55,GLOBE-SHOWING-ASIA-AUSTRALIA,174,1,Symbol,1f30f,1,Globe Showing Asia Australia,69
56,COWBOY-HAT-FACE,175,1,People,1f920,1,Cowboy Hat Face,34
56,MICROPHONE,176,2,Activity,1f3a4,2,Microphone,101
57,BENTO-BOX,179,1,Food,1f371,1,Bento Box,13
57,PANDA-FACE,180,1,Animal,1f43c,1,Panda Face,125
58,BOUQUET,183,1,Symbol,1f490,1,Bouquet,19
59,SPEAK-NO-EVIL-MONKEY,184,1,Symbol,1f64a,1,Speak No Evil Monkey,168
59,SEE-NO-EVIL-MONKEY,185,1,Symbol,1f648,1,See No Evil Monkey,149
59,HEAR-NO-EVIL-MONKEY,186,1,Symbol,1f649,1,Hear No Evil Monkey,77
60,ROCKET,187,2,Symbol,1f680,2,Rocket,145
60,SPARKLES,188,1,Symbol,2728,1,Sparkles,167
61,BELGIUM,192,1,Country,1f1e7-1f1ea,1,Belgium,12
62,AIRPLANE,193,3,Transport,2708,3,Airplane,0
62,STATUE-OF-LIBERTY,194,1,Symbol,1f5fd,1,Statue Of Liberty,169
62,SHORTCAKE,195,1,Food,1f370,1,Shortcake,156
63,SUNGLASSES,198,1,Symbol,1f576,1,Sunglasses,175
64,MAN,199,1,People,1f468,1,Man,96
64,BOY,201,2,People,1f466,2,Boy,20
64,TICKET,203,1,Activity,1f3ab,1,Ticket,182
64,DESERT,206,1,Scene,1f3dc,1,Desert,39
65,ELEPHANT,208,2,Animal,1f418,2,Elephant,48
65,DOLPHIN,209,1,Animal,1f42c,1,Dolphin,45
65,TWO-HUMP-CAMEL,210,1,Animal,1f42b,1,Two Hump Camel,188
66,PALM-TREE,211,4,Scene,1f334,4,Palm Tree,124
66,HIBISCUS,212,1,Symbol,1f33a,1,Hibiscus,80
66,SHEAF-OF-RICE,213,1,Food,1f33e,1,Sheaf Of Rice,152
67,SEAT,215,1,Symbol,1f4ba,1,Seat,148
69,MOUSE-FACE,221,1,Animal,1f42d,1,Mouse Face,109
70,MAN-DANCING,225,1,Activity,1f57a,1,Man Dancing,98
72,OCTOPUS,230,1,Animal,1f419,1,Octopus,119
73,BLUE-HEART,232,1,Symbol,1f499,1,Blue Heart,17
73,BASEBALL,233,1,Activity,26be,1,Baseball,8
74,BED,235,1,Symbol,1f6cf,1,Bed,10
74,ONCOMING-POLICE-CAR,237,1,Symbol,1f694,1,Oncoming Police Car,121
75,EYES,238,1,Symbol,1f440,1,Eyes,52
75,SPAIN,239,1,Country,1f1ea-1f1f8,1,Spain,166
76,FIREWORKS,241,1,Symbol,1f386,1,Fireworks,59
76,MOTOR-BOAT,243,2,Transport,1f6e5,2,Motor Boat,106
77,SMILING-CAT-FACE-WITH-HEART-EYES,246,1,Face,1f63b,1,Smiling Cat Face With Heart Eyes,161
78,CASTLE,247,2,Scene,1f3f0,2,Castle,26
78,CROWN,249,1,Symbol,1f451,1,Crown,37
79,WORLD-MAP,250,1,Symbol,1f5fa,1,World Map,197
80,PERSON-SURFING,253,5,Activity,1f3c4,5,Person Surfing,132
80,ALIEN-MONSTER,255,1,Symbol,1f47e,1,Alien Monster,3
81,MAPLE-LEAF,256,1,Symbol,1f341,1,Maple Leaf,100
82,PERSON-GOLFING,259,1,Activity,1f3cc,1,Person Golfing,130
82,FIJI,261,1,Country,1f1eb-1f1ef,1,Fiji,56
83,HELICOPTER,264,2,Transport,1f681,2,Helicopter,79
84,BEER-MUG,265,4,Food,1f37a,4,Beer Mug,11
84,PASSENGER-SHIP,267,1,Transport,1f6f3,1,Passenger Ship,126
85,JAPAN,268,1,Country,1f1ef-1f1f5,1,Japan,91
85,STEAMING-BOWL,269,1,Food,1f35c,1,Steaming Bowl,170
85,JAPANESE-CASTLE,270,1,Scene,1f3ef,1,Japanese Castle,92
88,RAISED-FIST,277,1,Symbol,270a,1,Raised Fist,141
88,MIDDLE-FINGER,278,1,Symbol,1f595,1,Middle Finger,102
89,AMERICAN-FOOTBALL,281,2,Activity,1f3c8,2,American Football,4
90,CHRISTMAS-TREE,283,1,Symbol,1f384,1,Christmas Tree,28
90,PENGUIN,284,1,Animal,1f427,1,Penguin,128
