emojis,unicode,n,name,e_id
OCTOPUS,1f419,1,Octopus,119
OK-HAND,1f44c,2,Ok Hand,120
ONCOMING-POLICE-CAR,1f694,1,Oncoming Police Car,121
OPEN-BOOK,1f4d6,1,Open Book,122
OWL,1f989,2,Owl,123
PALM-TREE,1f334,4,Palm Tree,124
PANDA-FACE,1f43c,1,Panda Face,125
PASSENGER-SHIP,1f6f3,1,Passenger Ship,126
PEACE-SYMBOL,262e,1,Peace Symbol,127
PENGUIN,1f427,1,Penguin,128
PERSON-BIKING,1f6b4,2,Person Biking,129
PERSON-GOLFING,1f3cc,1,Person Golfing,130
PERSON-RUNNING,1f3c3,1,Person Running,131
PERSON-SURFING,1f3c4,5,Person Surfing,132
PERSON-SWIMMING,1f3ca,1,Person Swimming,133
PERSON-TAKING-BATH,1f6c0,1,Person Taking Bath,134
PILL,1f48a,1,Pill,135
PISTOL,1f52b,2,Pistol,136
PIZZA,1f355,1,Pizza,137
POULTRY-LEG,1f357,1,Poultry Leg,138
RAILWAY-TRACK,1f6e4,3,Railway Track,139
RAINBOW,1f308,1,Rainbow,140
RAISED-FIST,270a,1,Raised Fist,141
RED-HEART,2764,1,Red Heart,142
RED-PAPER-LANTERN,1f3ee,2,Red Paper Lantern,143
RHINOCEROS,1f98f,1,Rhinoceros,144
ROCKET,1f680,2,Rocket,145
RUNNING-SHOE,1f45f,1,Running Shoe,146
SAXOPHONE,1f3b7,1,Saxophone,147
SEAT,1f4ba,1,Seat,148
SEE-NO-EVIL-MONKEY,1f648,1,See No Evil Monkey,149
SHALLOW-PAN-OF-FOOD,1f958,1,Shallow Pan Of Food,150
SHAMROCK,2618,1,Shamrock,151
SHEAF-OF-RICE,1f33e,1,Sheaf Of Rice,152
SHEEP,1f411,2,Sheep,153
SHIP,1f6a2,1,Ship,154
SHOPPING-BAGS,1f6cd,3,Shopping Bags,155
SHORTCAKE,1f370,1,Shortcake,156
SKIS,1f3bf,1,Skis,157
SKULL,1f480,4,Skull,158
SLEEPING-FACE,1f634,1,Sleeping Face,159
SLOT-MACHINE,1f3b0,1,Slot Machine,160
SMILING-CAT-FACE-WITH-HEART-EYES,1f63b,1,Smiling Cat Face With Heart Eyes,161
SMILING-FACE-WITH-HEART-EYES,1f60d,1,Smiling Face With Heart Eyes,162
SMILING-FACE-WITH-OPEN-MOUTH-,1f604,1,Smiling Face With Open Mouth ,163
SNOW-CAPPED-MOUNTAIN,1f3d4,1,Snow Capped Mountain,164
SNOWFLAKE,2744,1,Snowflake,165
SPAIN,1f1ea-1f1f8,1,Spain,166
SPARKLES,2728,1,Sparkles,167
SPEAK-NO-EVIL-MONKEY,1f64a,1,Speak No Evil Monkey,168
STATUE-OF-LIBERTY,1f5fd,1,Statue Of Liberty,169
STEAMING-BOWL,1f35c,1,Steaming Bowl,170
SUN,2600,2,Sun,171
SUN-BEHIND-CLOUD,26c5,1,Sun Behind Cloud,172
SUN-WITH-FACE,1f31e,3,Sun With Face,173
SUNFLOWER,1f33b,1,Sunflower,174
SUNGLASSES,1f576,1,Sunglasses,175
SUNRISE,1f305,6,Sunrise,176
SUNRISE-OVER-MOUNTAINS,1f304,2,Sunrise Over Mountains,177
SUNSET,1f307,1,Sunset,178
SUSHI,1f363,1,Sushi,179
SYRINGE,1f489,1,Syringe,180
TENT,26fa,1,Tent,181
TICKET,1f3ab,1,Ticket,182
TOKYO-TOWER,1f5fc,3,Tokyo Tower,183
TROPHY,1f3c6,4,Trophy,184
TROPICAL-DRINK,1f379,3,Tropical Drink,185
TUMBLER-GLASS,1f943,3,Tumbler Glass,186
TWO-HEARTS,1f495,1,Two Hearts,187
TWO-HUMP-CAMEL,1f42b,1,Two Hump Camel,188
UNITED-KINGDOM,1f1ec-1f1e7,3,United Kingdom,189
VICTORY-HAND,270c,1,Victory Hand,190
VOLCANO,1f30b,2,Volcano,191
WATER-WAVE,1f30a,7,Water Wave,192
WEDDING,1f492,1,Wedding,193
WINE-GLASS,1f377,3,Wine Glass,194
WOMAN,1f469,2,Woman,195
WOMAN-DANCING,1f483,1,Woman Dancing,196
WORLD-MAP,1f5fa,1,World Map,197
ZZZ,1f4a4,2,Zzz,198
