group,total,unique,percent
Scene,64,26,40.6
Activity,58,31,53.4
Food,39,22,56.4
People,16,10,62.5
Transport,21,13,61.9
Country,20,14,70.0
Symbol,83,60,72.3
Animal,19,15,78.9
Face,8,8,100
