group,subgroup,emojis,name,unicode,nn
Scene,City,CITYSCAPE-AT-DUSK,Cityscape At Dusk,1f306,1
Scene,Extreme Element,DESERT,Desert,1f3dc,1
Scene,Tropical,DESERT-ISLAND,Desert Island,1f3dd,9
Scene,Staycation,HOUSE,House,1f3e0,2
Scene,Landmark,JAPANESE-CASTLE,Japanese Castle,1f3ef,1
Scene,Nature,MILKY-WAY,Milky Way,1f30c,2
Scene,Landmark,MOSQUE,Mosque,1f54c,1
Scene,Nature,MOUNT-FUJI,Mount Fuji,1f5fb,1
Scene,Nature,MOUNTAIN,Mountain,26f0,2
Scene,Nature,NATIONAL-PARK,National Park,1f3de,1
Scene,Tropical,PALM-TREE,Palm Tree,1f334,4
Scene,Nature,SNOW-CAPPED-MOUNTAIN,Snow Capped Mountain,1f3d4,1
Symbol,,SUN,Sun,2600,2
Symbol,,SUN-BEHIND-CLOUD,Sun Behind Cloud,26c5,1
Scene,Nature,SUNRISE,Sunrise,1f305,6
Scene,Nature,SUNRISE-OVER-MOUNTAINS,Sunrise Over Mountains,1f304,2
Scene,City,SUNSET,Sunset,1f307,1
Scene,Landmark,TOKYO-TOWER,Tokyo Tower,1f5fc,3
Scene,Extreme Element,VOLCANO,Volcano,1f30b,2
Scene,Tropical,WATER-WAVE,Water Wave,1f30a,7
Symbol,,WEDDING,Wedding,1f492,1
Symbol,,ALIEN,Alien,1f47d,2
Symbol,,ALIEN-MONSTER,Alien Monster,1f47e,1
Symbol,,BACKHAND-INDEX-POINTING-RIGHT,Backhand Index Pointing Right,1f449,2
Symbol,,BED,Bed,1f6cf,1
Symbol,,BLUE-HEART,Blue Heart,1f499,1
Symbol,,BOUQUET,Bouquet,1f490,1
Symbol,,BRIGHT-BUTTON,Bright Button,1f506,1
Symbol,,CHEQUERED-FLAG,Chequered Flag,1f3c1,1
Symbol,,CHRISTMAS-TREE,Christmas Tree,1f384,1
Symbol,,CONFETTI-BALL,Confetti Ball,1f38a,1
Symbol,,CROWN,Crown,1f451,1
Symbol,,DIRECT-HIT,Direct Hit,1f3af,1
Symbol,,ENVELOPE,Envelope,2709,1
Scene,Nature,EVERGREEN-TREE,Evergreen Tree,1f332,1
Symbol,,EYE,Eye,1f441,1
Symbol,,EYES,Eyes,1f440,1
Symbol,,FEMALE-SIGN,Female Sign,2640,3
Symbol,,FIRE,Fire,1f525,3
Symbol,,FIRE-ENGINE,Fire Engine,1f692,1
Symbol,,FIREWORKS,Fireworks,1f386,1
Symbol,,FIVE-O-CLOCK,Five O Clock,1f554,1
Symbol,,FLEUR-DE-LIS,Fleur De Lis,269c,1
Symbol,,FRAMED-PICTURE,Framed Picture,1f5bc,2
Symbol,,GLOBE-SHOWING-AMERICAS,Globe Showing Americas,1f30e,4
Symbol,,GLOBE-SHOWING-ASIA-AUSTRALIA,Globe Showing Asia Australia,1f30f,1
Symbol,,GLOBE-SHOWING-EUROPE-AFRICA,Globe Showing Europe Africa,1f30d,2
Symbol,,HEAR-NO-EVIL-MONKEY,Hear No Evil Monkey,1f649,1
Symbol,,HEART-SUIT,Heart Suit,2665,1
Symbol,,HIBISCUS,Hibiscus,1f33a,1
Symbol,,HIGH-VOLTAGE,High Voltage,26a1,1
Scene,Nature,LEAF-FLUTTERING-IN-WIND,Leaf Fluttering In Wind,1f343,1
Symbol,,MAPLE-LEAF,Maple Leaf,1f341,1
Symbol,,OK-HAND,Ok Hand,1f44c,1
Symbol,,ONCOMING-POLICE-CAR,Oncoming Police Car,1f694,1
Symbol,,PEACE-SYMBOL,Peace Symbol,262e,1
Symbol,,PISTOL,Pistol,1f52b,2
Symbol,,RAINBOW,Rainbow,1f308,1
Symbol,,RAISED-FIST,Raised Fist,270a,1
Symbol,,RED-HEART,Red Heart,2764,1
Symbol,,RED-PAPER-LANTERN,Red Paper Lantern,1f3ee,2
Transport,Air,ROCKET,Rocket,1f680,2
Symbol,,SEAT,Seat,1f4ba,1
